Type,Number,Date,File,MD5 checksum
bulletin,1,26/02/2020,Boletim-Informativo-1.pdf,265f5066e0be4a089c7a20bbf4deda3a
bulletin,2,27/02/2020,Boletim-Informativo-2.pdf,8f9c999a7cc7cb04efbfec11209ea494
bulletin,3,28/02/2020,Boletim-Informativo-3.pdf,210353b6b442531efbe931cea536d939
bulletin,4,29/02/2020,Boletim-Informativo-4.pdf,9e77131b56dc71a0d85dc112e4fdb5f9
bulletin,5,01/03/2020,Boletim-Informativo-5.pdf,4ee5b4e6782c31e9de54b006e52a832f
report,1,03/03/2020,Relatório-de-Situação-1.pdf,b98c0584327f5424b907190bf0ffd34d
report,2,04/03/2020,Relatório-de-Situação-2.pdf,9ba031f174ed3efd5e1f81899ffb97d3
report,3,05/03/2020,Relatório-de-Situação-3.pdf,848f26515549d5f31bab0814c0f44ba9
report,4,06/03/2020,Relatório-de-Situação-4.pdf,ad7b601aebd824dd352940e50ded3bcf
report,5,07/03/2020,Relatório-de-Situação-5.pdf,cdfdd0d9d9da3a1211af4275f7a95fd5
report,6,08/03/2020,Relatório-de-Situação-6.pdf,569cff9be635e7d49208588621c938d8
report,7,09/03/2020,Relatório-de-Situação-7.pdf,c5e5b6b7cc5f2a0ec04bdd79e99fe8e2
report,8,10/03/2020,Relatório-de-Situação-8.pdf,31bdc24bb80e1718839e1380075ecc4d
report,9,11/03/2020,Relatório-de-Situação-9.pdf,3ce6c96913e0048aa60921ff5465b5a4
report,10,12/03/2020,Relatório-de-Situação-10.pdf,79db523fcb0632f5143a398add217c6c
report,11,13/03/2020,Relatório-de-Situação-11.pdf,907996d989eca1d00c836e264cee731a
report,12,14/03/2020,12_DGS_boletim_202003143.pdf,7da761b88c60495dc0af885d2a934129
report,13,15/03/2020,DGS_boletim_20200315_3.pdf,ef16d912aa15e37fec36b550ba930792
report,14,16/03/2020,i026004.pdf,35fa77c3b683d473a0fc3a0cf17ecd00
report,15,17/03/2020,i026024.pdf,a76e75b7aa7cb417467caa9ca4f64e53
report,16,18/03/2020,i026029.pdf,be5f8c3262731956aa3242e28e39dc2a
report,17,19/03/2020,17_DGS_boletim_20200319.pdf.pdf,477ad8aec088c6047f2a3d2cd2d1079f
report,18,20/03/2020,18_DGS_boletim_20200320-1.pdf,651d8c12267ee6cd934b7a4fdcb11a2d
report,19,21/03/2020,19_DGS_boletim_20200321.pdf,0e010a565f8aa36bb0ffec8c6233789b
report,20,22/03/2020,i026051.pdf,0d1d559940e8a0be17625bc893bb61dc
report,21,23/03/2020,i026056.pdf,389937c4c7df03b64263b7ea94aa5f59
report,22,24/03/2020,22_DGS_boletim_20200324_3.pdf,8ac1723b786097be4dd48a52a05bc1d6
report,23,25/03/2020,i026070.pdf,4501045b2f421f69ff0e59478c2d8365
report,24,26/03/2020,i026078.pdf,640aba6b43f4b99129cfc3d9e5e3760c
report,25,27/03/2020,i026082.pdf,67337189e05cb1dab8d106a101bc2abe
report,26,28/03/2020,i026084.pdf,2de390ad1ca26ffa003da16593052018
report,27,29/03/2020,i026088.pdf,5bb305a902848e1ad2734214689bd50b
report,28,30/03/2020,i026097.pdf,b9453c2673ed122e76338e05d3a70a91
report,29,31/03/2020,29_DGS_boletim_20200331.pdf,8790444581226590596391d278e4d9dd
report,30,01/04/2020,i026123.pdf,2934496ccecbba0351d7f45aac9b7671
report,31,02/04/2020,31_DGS_boletim_20200402.pdf,955aa8d2a7e92d845280c95a00abc1cd
report,32,03/04/2020,32_DGS_boletim_20200403.pdf,505f758a9db3982edd192c7505c82b65
report,33,04/04/2020,33_DGS_boletim_20200404.pdf,40d570dd432a9f90a9da9716c451a60f
report,34,05/04/2020,34_DGS_boletim_20200405.pdf,4119189743d217c98b02361e1bdb0279
